movie title,rating,worldwide total gross,release date,runtime (mins),production budget,domestic total gross
Anonymous,PG-13,15395087,10/28/11 0:00,130,30000000,4463292
Another Year,PG-13,19722766,12/29/10 0:00,129,8000000,3205706
Another You,R,N/A,7/26/91 0:00,94,17000000,2865916
The Ant Bully,PG,55181129,7/28/06 0:00,82,50000000,28142535
Ant-Man,PG-13,519250779,7/17/15 0:00,117,130000000,180202163
Antwone Fisher,PG-13,23367586,12/19/02 0:00,120,12500000,21078145
Antz,PG,171757863,10/2/98 0:00,84,105000000,90757863
Any Given Sunday,R,100230832,12/22/99 0:00,157,55000000,75530832
Anything Else,R,13585075,9/19/03 0:00,108,18000000,3212310
Anywhere But Here,PG-13,23631929,11/12/99 0:00,114,23000000,18670401
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
Apocalypto,R,120654337,12/8/06 0:00,138,40000000,50866635
Apollo 18,PG-13,25562924,9/2/11 0:00,86,5000000,17687709
Appaloosa,R,27665851,9/19/08 0:00,108,20000000,20211394
The Apparition,PG-13,9627492,8/24/12 0:00,82,17000000,4936819
Aqua Teen Hunger Force Colon Movie Film for Theaters,R,N/A,4/13/07 0:00,87,750000,5520368
Aquamarine,PG,23006849,3/3/06 0:00,109,12000000,18597342
Arabian Knight,G,N/A,8/25/95 0:00,71,25000000,669276
Ararat,R,2743336,11/15/02 0:00,126,15500000,1555959
Are We There Yet?,PG,97918663,1/21/05 0:00,94,32000000,82674398
Argo,R,232325503,10/12/12 0:00,120,44500000,136025503
Arlington Road,R,41067311,7/9/99 0:00,119,31000000,24756177
Armageddon,PG-13,553709788,7/1/98 0:00,144,140000000,201578182
Armored,PG-13,22942221,12/4/09 0:00,88,20000000,15988876
Around the World in 80 Days,G,N/A,10/17/56 0:00,188,6000000,42000000
Around the World in 80 Days,PG,72178895,6/16/04 0:00,120,110000000,24008137
Art of Submission,PG-13,N/A,9/21/12 0:00,119,4500000,9004
The Art of War,R,40400425,8/25/00 0:00,117,60000000,30208599
Arthur (2011),PG-13,45735397,4/8/11 0:00,110,40000000,33035397
Arthur and the Invisibles,PG,107944236,12/29/06 0:00,103,86000000,15132763
The Artist,PG-13,133432856,11/25/11 0:00,100,15000000,44671682
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
As Good as It Gets,PG-13,314178011,12/23/97 0:00,139,50000000,148478011
The Assassination of Jesse James by the Coward Robert Ford,R,15001776,9/21/07 0:00,160,30000000,3909149
Assassins,R,N/A,10/6/95 0:00,133,50000000,30303072
Assault on Precinct 13,R,35294470,1/19/05 0:00,109,30000000,20040895
Astro Boy,PG,39886986,10/23/09 0:00,94,65000000,19551067
The Astronaut Farmer,PG,11130889,2/23/07 0:00,104,13000000,11003643
The Astronaut's Wife,R,19598588,8/27/99 0:00,110,75000000,10672566
At First Sight,PG-13,N/A,1/15/99 0:00,124,60000000,22365133
ATL,PG-13,N/A,3/31/06 0:00,100,20000000,21170563
Atlantis: The Lost Empire,PG,186053725,6/8/01 0:00,95,120000000,84056472
Atlas Shrugged: Part I,PG-13,N/A,4/15/11 0:00,102,20000000,4627375
Attack the Block,R,5824175,7/29/11 0:00,88,13000000,1024175
The Jungle Book (2016),PG,314184975,4/15/16 0:00,105,175000000,110284975
Austin Powers in Goldmember,PG-13,296655431,7/26/02 0:00,94,63000000,213307889
Austin Powers: International Man of Mystery,PG-13,67683989,5/2/97 0:00,100,16500000,53883989
Austin Powers: The Spy Who Shagged Me,PG-13,312016858,6/11/99 0:00,95,33000000,206040086
Australia,PG-13,211342221,11/26/08 0:00,165,130000000,49554002
Autumn in New York,PG-13,90726668,8/11/00 0:00,104,65000000,37761915
The Avengers (1998),PG-13,N/A,8/14/98 0:00,90,60000000,23384939
Avengers: Age of Ultron,PG-13,1405413868,5/1/15 0:00,141,250000000,459005868
The Aviator,PG-13,213741459,12/17/04 0:00,168,110000000,102610330
Awake,R,32685679,11/30/07 0:00,84,8600000,14377198
Away We Go,R,14899417,6/5/09 0:00,98,17000000,9451946
Back to the Future,PG,381109762,7/3/85 0:00,111,19000000,210609762
Back to the Future Part III,PG,244527583,5/25/90 0:00,118,40000000,87727583
The Back-Up Plan,PG-13,77477008,4/23/10 0:00,98,35000000,37490007
Bad Boys,R,141407024,4/7/95 0:00,123,19000000,65807024
Bad Boys II,R,273339556,7/18/03 0:00,147,130000000,138608444
Bad Company,PG-13,65977295,6/7/02 0:00,117,70000000,30160161
Bad Education,NC-17,40273930,11/19/04 0:00,109,5000000,5211842
Bad Lieutenant: Port of Call New Orleans,R,10589102,11/20/09 0:00,121,25000000,1702112
Bad News Bears,PG-13,34252847,7/22/05 0:00,111,35000000,32868349
Bad Santa,R,76488889,11/26/03 0:00,93,23000000,60060328
Bad Teacher,R,216197492,6/24/11 0:00,89,20000000,100292856
Bait,R,15471969,9/15/00 0:00,119,51000000,15325127
Ballistic: Ecks vs. Sever,R,19924033,9/20/02 0:00,91,70000000,14307963
Bandits,PG-13,67631903,10/12/01 0:00,123,75000000,41575141
The Banger Sisters,R,38068353,9/20/02 0:00,94,10000000,30307416
Bangkok Dangerous,R,42487390,9/5/08 0:00,100,45000000,15298133
